benchmark_type,is_read_op,slope,y_intercept,left_bound,right_bound
SameOffset,1,2.06696970578501e-10,-2.69465751041496e-05,0,0
SameOffset,0,2.067215061737521e-10,-2.9677760512935756e-05,0,0
RandomUncached,1,1.0053948057899217e-09,0.0005653079956212121,0,0
RandomUncached,0,4.032777031311284e-09,0.0015537830780862827,0,0
Sequential,1,5.841474352409782e-10,0.0001120031629745225,0,0
Sequential,0,2.836558484444972e-09,-3.357924244219018e-05,0,0
Reverse,1,6.402777067732158e-10,0.0012037883678868528,0,0
Reverse,0,3.291296321981578e-09,0.00044136916069193854,0,0
